GameName,Category,FullPath,SizeBytes
Monopoly Deal (XBLA),XBLA,G:\___ XBLA Games ___\Monopoly Deal (XBLA),311431168
Monopoly Plus (XBLA),XBLA,G:\___ XBLA Games ___\Monopoly Plus (XBLA),569049088
Ms. Pac-Man (XBLA),XBLA,G:\___ XBLA Games ___\Ms. Pac-Man (XBLA),12464128
Orcs Must Die (XBLA),XBLA,G:\___ XBLA Games ___\Orcs Must Die (XBLA),1767665664
Pac-Man - Championship Edition (XBLA),XBLA,G:\___ XBLA Games ___\Pac-Man - Championship Edition (XBLA),51916800
Pac-Man - Championship Edition DX (XBLA),XBLA,G:\___ XBLA Games ___\Pac-Man - Championship Edition DX (XBLA),233439232
Pac-Man Museum (XBLA),XBLA,G:\___ XBLA Games ___\Pac-Man Museum (XBLA),240726016
Pinball FX (XBLA),XBLA,G:\___ XBLA Games ___\Pinball FX (XBLA),51965952
Prince of Persia Classic (XBLA),XBLA,G:\___ XBLA Games ___\Prince of Persia Classic (XBLA),52264960
Putty Squad (XBLA),XBLA,G:\___ XBLA Games ___\Putty Squad (XBLA),1452720128
R.I.P.D. - The Game (XBLA),XBLA,G:\___ XBLA Games ___\R.I.P.D. - The Game (XBLA),1289404416
Raven The - Legacy of a Master Thief - Episode 1 - Eye of the Sphinx (XBLA),XBLA,G:\___ XBLA Games ___\Raven The - Legacy of a Master Thief - Episode 1 - Eye of the Sphinx (XBLA),3360849920
Resident Evil - Revelations 2 - Episode 1 - Penal Colony (XBLA),XBLA,G:\___ XBLA Games ___\Resident Evil - Revelations 2 - Episode 1 - Penal Colony (XBLA),1793613824
Sanctum 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sanctum 2 (XBLA),835366912
Sega Rally Online Arcade (XBLA),XBLA,G:\___ XBLA Games ___\Sega Rally Online Arcade (XBLA),1314652160
Sega Vintage Collection - Golden Axe (XBLA),XBLA,G:\___ XBLA Games ___\Sega Vintage Collection - Golden Axe (XBLA),301981696
Sega Vintage Collection - Streets of Rage (XBLA),XBLA,G:\___ XBLA Games ___\Sega Vintage Collection - Streets of Rage (XBLA),299683840
Serious Sam 3 - BFE (XBLA),XBLA,G:\___ XBLA Games ___\Serious Sam 3 - BFE (XBLA),1328066560
Shank (XBLA),XBLA,G:\___ XBLA Games ___\Shank (XBLA),2126336000
Shank 2 (XBLA),XBLA,G:\___ XBLA Games ___\Shank 2 (XBLA),1303126016
Shrek n Roll (XBLA),XBLA,G:\___ XBLA Games ___\Shrek n Roll (XBLA),149139456
Simpsons Arcade Game The (XBLA),XBLA,G:\___ XBLA Games ___\Simpsons Arcade Game The (XBLA),18812928
Sine Mora (XBLA),XBLA,G:\___ XBLA Games ___\Sine Mora (XBLA),943976448
Slender - The Arrival (XBLA),XBLA,G:\___ XBLA Games ___\Slender - The Arrival (XBLA),650121216
Small Arms (XBLA),XBLA,G:\___ XBLA Games ___\Small Arms (XBLA),45744128
Snoopy Flying Ace (XBLA),XBLA,G:\___ XBLA Games ___\Snoopy Flying Ace (XBLA),583036928
Sonic Adventure (XBLA),XBLA,G:\___ XBLA Games ___\Sonic Adventure (XBLA),1603915776
Sonic Adventure 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic Adventure 2 (XBLA),2541113465
Sonic and Knuckles (XBLA),XBLA,G:\___ XBLA Games ___\Sonic and Knuckles (XBLA),30482432
Sonic CD (XBLA),XBLA,G:\___ XBLA Games ___\Sonic CD (XBLA),323633152
Sonic the Fighters (XBLA),XBLA,G:\___ XBLA Games ___\Sonic the Fighters (XBLA),101867520
Sonic The Hedgehog (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog (XBLA),30175232
Sonic The Hedgehog 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 2 (XBLA),30281728
Sonic The Hedgehog 3 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 3 (XBLA),20107264
Sonic The Hedgehog 4 - Episode 1 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 4 - Episode 1 (XBLA),199815168
