GameName,Category,FullPath
Pac-Man - Championship Edition (XBLA),XBLA,G:\___ XBLA Games ___\Pac-Man - Championship Edition (XBLA)
Pac-Man - Championship Edition DX (XBLA),XBLA,G:\___ XBLA Games ___\Pac-Man - Championship Edition DX (XBLA)
Pac-Man Museum (XBLA),XBLA,G:\___ XBLA Games ___\Pac-Man Museum (XBLA)
Pinball FX (XBLA),XBLA,G:\___ XBLA Games ___\Pinball FX (XBLA)
Prince of Persia Classic (XBLA),XBLA,G:\___ XBLA Games ___\Prince of Persia Classic (XBLA)
Putty Squad (XBLA),XBLA,G:\___ XBLA Games ___\Putty Squad (XBLA)
R.I.P.D. - The Game (XBLA),XBLA,G:\___ XBLA Games ___\R.I.P.D. - The Game (XBLA)
Raven The - Legacy of a Master Thief - Episode 1 - Eye of the Sphinx (XBLA),XBLA,G:\___ XBLA Games ___\Raven The - Legacy of a Master Thief - Episode 1 - Eye of the Sphinx (XBLA)
Resident Evil - Revelations 2 - Episode 1 - Penal Colony (XBLA),XBLA,G:\___ XBLA Games ___\Resident Evil - Revelations 2 - Episode 1 - Penal Colony (XBLA)
Sanctum 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sanctum 2 (XBLA)
Sega Rally Online Arcade (XBLA),XBLA,G:\___ XBLA Games ___\Sega Rally Online Arcade (XBLA)
Sega Vintage Collection - Golden Axe (XBLA),XBLA,G:\___ XBLA Games ___\Sega Vintage Collection - Golden Axe (XBLA)
Sega Vintage Collection - Streets of Rage (XBLA),XBLA,G:\___ XBLA Games ___\Sega Vintage Collection - Streets of Rage (XBLA)
Serious Sam 3 - BFE (XBLA),XBLA,G:\___ XBLA Games ___\Serious Sam 3 - BFE (XBLA)
Shank (XBLA),XBLA,G:\___ XBLA Games ___\Shank (XBLA)
Shank 2 (XBLA),XBLA,G:\___ XBLA Games ___\Shank 2 (XBLA)
Shrek n Roll (XBLA),XBLA,G:\___ XBLA Games ___\Shrek n Roll (XBLA)
Simpsons Arcade Game The (XBLA),XBLA,G:\___ XBLA Games ___\Simpsons Arcade Game The (XBLA)
Sine Mora (XBLA),XBLA,G:\___ XBLA Games ___\Sine Mora (XBLA)
Slender - The Arrival (XBLA),XBLA,G:\___ XBLA Games ___\Slender - The Arrival (XBLA)
Small Arms (XBLA),XBLA,G:\___ XBLA Games ___\Small Arms (XBLA)
Snoopy Flying Ace (XBLA),XBLA,G:\___ XBLA Games ___\Snoopy Flying Ace (XBLA)
Sonic Adventure (XBLA),XBLA,G:\___ XBLA Games ___\Sonic Adventure (XBLA)
Sonic Adventure 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic Adventure 2 (XBLA)
Sonic and Knuckles (XBLA),XBLA,G:\___ XBLA Games ___\Sonic and Knuckles (XBLA)
Sonic CD (XBLA),XBLA,G:\___ XBLA Games ___\Sonic CD (XBLA)
Sonic the Fighters (XBLA),XBLA,G:\___ XBLA Games ___\Sonic the Fighters (XBLA)
Sonic The Hedgehog (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog (XBLA)
Sonic The Hedgehog 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 2 (XBLA)
Sonic The Hedgehog 3 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 3 (XBLA)
Sonic The Hedgehog 4 - Episode 1 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 4 - Episode 1 (XBLA)
Sonic The Hedgehog 4 - Episode 2 (XBLA),XBLA,G:\___ XBLA Games ___\Sonic The Hedgehog 4 - Episode 2 (XBLA)
Spyglass Board Games (XBLA),XBLA,G:\___ XBLA Games ___\Spyglass Board Games (XBLA)
State of Decay (XBLA),XBLA,G:\___ XBLA Games ___\State of Decay (XBLA)
Street Fighter III - Third Strike - Online Edition (XBLA),XBLA,G:\___ XBLA Games ___\Street Fighter III - Third Strike - Online Edition (XBLA)
Streets of Rage 2 (XBLA),XBLA,G:\___ XBLA Games ___\Streets of Rage 2 (XBLA)
Super Contra (XBLA),XBLA,G:\___ XBLA Games ___\Super Contra (XBLA)
Super Meat Boy (XBLA),XBLA,G:\___ XBLA Games ___\Super Meat Boy (XBLA)
Teenage Mutant Ninja Turtles - 1989 Classic Arcade (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - 1989 Classic Arcade (XBLA)
Teenage Mutant Ninja Turtles - Out of the Shadows (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - Out of the Shadows (XBLA)
Teenage Mutant Ninja Turtles - Training Lair (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - Training Lair (XBLA)
Teenage Mutant Ninja Turtles - Turtles in Time Re-Shelled (XBLA),XBLA,G:\___ XBLA Games ___\Teenage Mutant Ninja Turtles - Turtles in Time Re-Shelled (XBLA)
The Wolf Among Us E1 (XBLA),XBLA,G:\___ XBLA Games ___\The Wolf Among Us E1 (XBLA)
The Wolf Among Us E2 (XBLA),XBLA,G:\___ XBLA Games ___\The Wolf Among Us E2 (XBLA)
The Wolf Among Us E3 (XBLA),XBLA,G:\___ XBLA Games ___\The Wolf Among Us E3 (XBLA)
Torchlight (XBLA),XBLA,G:\___ XBLA Games ___\Torchlight (XBLA)
Trials Fusion (XBLA),XBLA,G:\___ XBLA Games ___\Trials Fusion (XBLA)
