GameName	Category	FullPath
Battlefield - Bad Company 2 (USA) (EnFr) (Limited Edition)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Battlefield - Bad Company 2 (USA) (EnFr) (Limited Edition)
Battlefield 1943 (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Battlefield 1943 (XBLA)
Battlefield 2 - Modern Combat (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Battlefield 2 - Modern Combat (USA)
Battlefield 3 (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Battlefield 3 (2-DVD)
Battlefield 4 (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Battlefield 4 (2-DVD)
Battlefield.Bad.Company	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Battlefield.Bad.Company
Battlefield.Hardline	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Battlefield.Hardline
Battleship	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Battleship
Ben.10.Galactic.Racing	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Ben.10.Galactic.Racing
Ben.10.Omniverse	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Ben.10.Omniverse
Ben.10.Omniverse.2	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Ben.10.Omniverse.2
Ben.10.Ultimate.Alien.Cosmic.Destruction	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Ben.10.Ultimate.Alien.Cosmic.Destruction
Binary.Domain	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Binary.Domain
Bionic.Commando	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Bionic.Commando
BioShock - Ultimate Rapture Edition (USA) (BioShock - Bonus Content)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\BioShock - Ultimate Rapture Edition (USA) (BioShock - Bonus Content)
BioShock - Ultimate Rapture Edition (USA) (BioShock 2 - Bonus Content)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\BioShock - Ultimate Rapture Edition (USA) (BioShock 2 - Bonus Content)
BioShock 2 (World) (EnFrEs) (Beta) (2009-11-30)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\BioShock 2 (World) (EnFrEs) (Beta) (2009-11-30)
BioShock Infinite - The Complete Edition (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\BioShock Infinite - The Complete Edition (2-DVD)
BioShock Infinite - The Complete Edition - Bonus Content Disc (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\BioShock Infinite - The Complete Edition - Bonus Content Disc (USA)
BlackSite.Area.51	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\BlackSite.Area.51
Blood Bowl (USA) (EnFrEs)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Blood Bowl (USA) (EnFrEs)
Blood.Drive.XBOX360.CCCLX	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Blood.Drive.XBOX360.CCCLX
Bloodforge (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Bloodforge (XBLA)
Blur.XBOX360-MARVEL	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Blur.XBOX360-MARVEL
Body.Count.XBOX360.MARVEL	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Body.Count.XBOX360.MARVEL
Bomberman Live (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Bomberman Live (XBLA)
Borderlands 2 Game Of The Year Edition (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Borderlands 2 Game Of The Year Edition (2-DVD)
Borderlands.GOTY	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Borderlands.GOTY
